trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
1738,2023,4/27/23,HOU,ARI,2024,1,27,0,NA,NA
1738,2023,4/27/23,HOU,ARI,2024,3,90,0,NA,NA
1723,2023,3/9/23,BAL,NYJ,NA,NA,NA,NA,ClarCh00,Chuck Clark
1724,2023,3/10/23,CHI,CAR,2023,1,1,0,NA,NA
1724,2023,3/10/23,CAR,CHI,2023,1,9,0,NA,NA
1724,2023,3/10/23,CAR,CHI,2023,2,61,0,NA,NA
1740,2023,4/27/23,PHI,CHI,2024,4,122,0,NA,NA
1744,2023,4/28/23,TEN,ARI,2024,3,71,0,NA,NA
1724,2023,3/10/23,CAR,CHI,NA,NA,NA,NA,MoorD.00,D.J. Moore
1726,2023,3/12/23,MIA,LA,NA,NA,NA,NA,LongHu00,Hunter Long
1726,2023,3/12/23,MIA,LA,2023,3,77,0,NA,NA
1726,2023,3/12/23,LA,MIA,NA,NA,NA,NA,RamsJa00,Jalen Ramsey
1727,2023,3/13/23,NE,ATL,NA,NA,NA,NA,SmitJo01,Jonnu Smith
1727,2023,3/13/23,ATL,NE,2023,7,245,0,NA,NA
1728,2023,3/14/23,TB,HOU,NA,NA,NA,NA,MasoSh01,Shaq Mason
1728,2023,3/14/23,TB,HOU,2023,7,230,0,NA,NA
1728,2023,3/14/23,HOU,TB,2023,6,179,0,NA,NA
1729,2023,3/14/23,NYG,LV,2023,3,100,0,NA,NA
1729,2023,3/14/23,LV,NYG,NA,NA,NA,NA,WallDa01,Darren Waller
1730,2023,3/14/23,IND,DAL,NA,NA,NA,NA,GilmSt00,Stephon Gilmore
1730,2023,3/14/23,DAL,IND,2023,5,176,0,NA,NA
1731,2023,3/19/23,HOU,DAL,NA,NA,NA,NA,CookBr00,Brandin Cooks
1731,2023,3/19/23,DAL,HOU,2023,5,161,0,NA,NA
1756,2023,4/28/23,DEN,SEA,2024,3,81,0,NA,NA
1732,2023,3/22/23,NYJ,CLE,NA,NA,NA,NA,MoorEl00,Elijah Moore
1732,2023,3/22/23,NYJ,CLE,2023,3,74,0,NA,NA
1732,2023,3/22/23,CLE,NYJ,2023,2,42,0,NA,NA
1762,2023,4/29/23,PHI,HOU,2024,3,86,0,NA,NA
1733,2023,3/24/23,CAR,SF,NA,NA,NA,NA,GonzZa00,Zane Gonzalez
1764,2023,4/29/23,KC,MIN,2024,5,167,0,NA,NA
1734,2023,4/11/23,DET,ATL,NA,NA,NA,NA,OkudJe00,Jeff Okudah
